class_name,total_samples,correct_samples,recall_pct
apple_pie,120,82,68.33
baby_back_ribs,114,103,90.35
baklava,121,114,94.21
beef_carpaccio,110,102,92.73
beef_tartare,122,104,85.25
beet_salad,137,108,78.83
beignets,130,120,92.31
bibimbap,125,115,92.0
bread_pudding,126,90,71.43
breakfast_burrito,119,107,89.92
bruschetta,125,104,83.2
caesar_salad,137,120,87.59
cannoli,133,118,88.72
caprese_salad,127,104,81.89
carrot_cake,123,111,90.24
ceviche,133,102,76.69
cheese_plate,136,119,87.5
cheesecake,116,89,76.72
chicken_curry,130,109,83.85
chicken_quesadilla,116,104,89.66
chicken_wings,128,120,93.75
chocolate_cake,124,99,79.84
chocolate_mousse,120,97,80.83
churros,127,115,90.55
clam_chowder,124,119,95.97
club_sandwich,110,93,84.55
crab_cakes,127,102,80.31
creme_brulee,121,110,90.91
croque_madame,126,119,94.44
cup_cakes,115,105,91.3
deviled_eggs,125,110,88.0
donuts,132,109,82.58
dumplings,127,110,86.61
edamame,100,100,100.0
eggs_benedict,130,106,81.54
escargots,131,124,94.66
falafel,122,111,90.98
filet_mignon,137,96,70.07
fish_and_chips,105,103,98.1
foie_gras,145,107,73.79
french_fries,111,103,92.79
french_onion_soup,130,123,94.62
french_toast,130,112,86.15
fried_calamari,122,112,91.8
fried_rice,119,97,81.51
frozen_yogurt,131,125,95.42
garlic_bread,123,100,81.3
gnocchi,137,116,84.67
greek_salad,123,109,88.62
grilled_cheese_sandwich,131,112,85.5
grilled_salmon,122,102,83.61
guacamole,119,109,91.6
gyoza,117,102,87.18
hamburger,127,110,86.61
hot_and_sour_soup,123,120,97.56
hot_dog,115,104,90.43
huevos_rancheros,117,77,65.81
hummus,134,96,71.64
ice_cream,121,95,78.51
lasagna,137,111,81.02
lobster_bisque,128,101,78.91
lobster_roll_sandwich,129,122,94.57
macaroni_and_cheese,128,113,88.28
macarons,129,125,96.9
miso_soup,145,136,93.79
mussels,131,124,94.66
nachos,110,97,88.18
omelette,114,88,77.19
onion_rings,123,115,93.5
oysters,136,127,93.38
pad_thai,126,124,98.41
paella,123,103,83.74
pancakes,126,118,93.65
panna_cotta,139,109,78.42
peking_duck,128,104,81.25
pho,122,104,85.25
pizza,118,101,85.59
pork_chop,104,70,67.31
poutine,111,105,94.59
prime_rib,120,106,88.33
pulled_pork_sandwich,120,96,80.0
ramen,123,107,86.99
ravioli,122,99,81.15
red_velvet_cake,136,111,81.62
risotto,124,103,83.06
samosa,128,115,89.84
sashimi,133,123,92.48
scallops,151,115,76.16
seaweed_salad,131,129,98.47
shrimp_and_grits,129,108,83.72
spaghetti_bolognese,118,114,96.61
spaghetti_carbonara,129,113,87.6
spring_rolls,120,103,85.83
steak,103,62,60.19
strawberry_shortcake,128,109,85.16
sushi,131,118,90.08
tacos,137,103,75.18
takoyaki,122,117,95.9
tiramisu,121,89,73.55
tuna_tartare,144,105,72.92
waffles,120,113,94.17
