class_name,total_samples,correct_samples,recall_pct
apple_pie,120,77,64.17
baby_back_ribs,114,92,80.7
baklava,121,109,90.08
beef_carpaccio,110,95,86.36
beef_tartare,122,90,73.77
beet_salad,137,108,78.83
beignets,130,117,90.0
bibimbap,125,115,92.0
bread_pudding,126,80,63.49
breakfast_burrito,119,92,77.31
bruschetta,125,94,75.2
caesar_salad,137,120,87.59
cannoli,133,116,87.22
caprese_salad,127,109,85.83
carrot_cake,123,98,79.67
ceviche,133,89,66.92
cheese_plate,136,120,88.24
cheesecake,116,78,67.24
chicken_curry,130,107,82.31
chicken_quesadilla,116,94,81.03
chicken_wings,128,117,91.41
chocolate_cake,124,89,71.77
chocolate_mousse,120,88,73.33
churros,127,114,89.76
clam_chowder,124,111,89.52
club_sandwich,110,104,94.55
crab_cakes,127,94,74.02
creme_brulee,121,106,87.6
croque_madame,126,114,90.48
cup_cakes,115,102,88.7
deviled_eggs,125,114,91.2
donuts,132,111,84.09
dumplings,127,110,86.61
edamame,100,100,100.0
eggs_benedict,130,115,88.46
escargots,131,117,89.31
falafel,122,93,76.23
filet_mignon,137,94,68.61
fish_and_chips,105,90,85.71
foie_gras,145,98,67.59
french_fries,111,106,95.5
french_onion_soup,130,115,88.46
french_toast,130,98,75.38
fried_calamari,122,104,85.25
fried_rice,119,97,81.51
frozen_yogurt,131,125,95.42
garlic_bread,123,95,77.24
gnocchi,137,97,70.8
greek_salad,123,100,81.3
grilled_cheese_sandwich,131,99,75.57
grilled_salmon,122,93,76.23
guacamole,119,106,89.08
gyoza,117,101,86.32
hamburger,127,106,83.46
hot_and_sour_soup,123,113,91.87
hot_dog,115,102,88.7
huevos_rancheros,117,76,64.96
hummus,134,105,78.36
ice_cream,121,83,68.6
lasagna,137,107,78.1
lobster_bisque,128,111,86.72
lobster_roll_sandwich,129,118,91.47
macaroni_and_cheese,128,100,78.12
macarons,129,123,95.35
miso_soup,145,130,89.66
mussels,131,115,87.79
nachos,110,97,88.18
omelette,114,79,69.3
onion_rings,123,120,97.56
oysters,136,126,92.65
pad_thai,126,118,93.65
paella,123,100,81.3
pancakes,126,111,88.1
panna_cotta,139,106,76.26
peking_duck,128,108,84.38
pho,122,111,90.98
pizza,118,103,87.29
pork_chop,104,60,57.69
poutine,111,98,88.29
prime_rib,120,100,83.33
pulled_pork_sandwich,120,92,76.67
ramen,123,111,90.24
ravioli,122,76,62.3
red_velvet_cake,136,118,86.76
risotto,124,80,64.52
samosa,128,106,82.81
sashimi,133,125,93.98
scallops,151,107,70.86
seaweed_salad,131,119,90.84
shrimp_and_grits,129,104,80.62
spaghetti_bolognese,118,110,93.22
spaghetti_carbonara,129,121,93.8
spring_rolls,120,103,85.83
steak,103,65,63.11
strawberry_shortcake,128,107,83.59
sushi,131,108,82.44
tacos,137,106,77.37
takoyaki,122,112,91.8
tiramisu,121,101,83.47
tuna_tartare,144,98,68.06
waffles,120,104,86.67
