class_name,total_samples,correct_samples,recall_pct
apple_pie,120,86,71.67
baby_back_ribs,114,93,81.58
baklava,121,110,90.91
beef_carpaccio,110,95,86.36
beef_tartare,122,93,76.23
beet_salad,137,92,67.15
beignets,130,122,93.85
bibimbap,125,118,94.4
bread_pudding,126,78,61.9
breakfast_burrito,119,81,68.07
bruschetta,125,99,79.2
caesar_salad,137,125,91.24
cannoli,133,120,90.23
caprese_salad,127,106,83.46
carrot_cake,123,96,78.05
ceviche,133,96,72.18
cheese_plate,136,116,85.29
cheesecake,116,86,74.14
chicken_curry,130,97,74.62
chicken_quesadilla,116,96,82.76
chicken_wings,128,115,89.84
chocolate_cake,124,102,82.26
chocolate_mousse,120,77,64.17
churros,127,120,94.49
clam_chowder,124,119,95.97
club_sandwich,110,101,91.82
crab_cakes,127,96,75.59
creme_brulee,121,109,90.08
croque_madame,126,107,84.92
cup_cakes,115,98,85.22
deviled_eggs,125,115,92.0
donuts,132,116,87.88
dumplings,127,114,89.76
edamame,100,99,99.0
eggs_benedict,130,120,92.31
escargots,131,126,96.18
falafel,122,106,86.89
filet_mignon,137,109,79.56
fish_and_chips,105,97,92.38
foie_gras,145,97,66.9
french_fries,111,101,90.99
french_onion_soup,130,111,85.38
french_toast,130,105,80.77
fried_calamari,122,108,88.52
fried_rice,119,102,85.71
frozen_yogurt,131,126,96.18
garlic_bread,123,100,81.3
gnocchi,137,102,74.45
greek_salad,123,102,82.93
grilled_cheese_sandwich,131,101,77.1
grilled_salmon,122,99,81.15
guacamole,119,109,91.6
gyoza,117,98,83.76
hamburger,127,105,82.68
hot_and_sour_soup,123,116,94.31
hot_dog,115,105,91.3
huevos_rancheros,117,86,73.5
hummus,134,104,77.61
ice_cream,121,90,74.38
lasagna,137,111,81.02
lobster_bisque,128,105,82.03
lobster_roll_sandwich,129,121,93.8
macaroni_and_cheese,128,109,85.16
macarons,129,123,95.35
miso_soup,145,134,92.41
mussels,131,121,92.37
nachos,110,97,88.18
omelette,114,78,68.42
onion_rings,123,110,89.43
oysters,136,131,96.32
pad_thai,126,119,94.44
paella,123,99,80.49
pancakes,126,112,88.89
panna_cotta,139,118,84.89
peking_duck,128,113,88.28
pho,122,111,90.98
pizza,118,109,92.37
pork_chop,104,70,67.31
poutine,111,103,92.79
prime_rib,120,102,85.0
pulled_pork_sandwich,120,105,87.5
ramen,123,112,91.06
ravioli,122,83,68.03
red_velvet_cake,136,117,86.03
risotto,124,89,71.77
samosa,128,105,82.03
sashimi,133,128,96.24
scallops,151,121,80.13
seaweed_salad,131,125,95.42
shrimp_and_grits,129,100,77.52
spaghetti_bolognese,118,112,94.92
spaghetti_carbonara,129,119,92.25
spring_rolls,120,103,85.83
steak,103,49,47.57
strawberry_shortcake,128,99,77.34
sushi,131,113,86.26
tacos,137,109,79.56
takoyaki,122,119,97.54
tiramisu,121,102,84.3
tuna_tartare,144,129,89.58
waffles,120,101,84.17
